HistoricalDate,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
24 Apr 2023,Nifty Bank,42469.95,42714.15,42269.10,42635.75
21 Apr 2023,Nifty Bank,42252.55,42382.15,41962.35,42118.00
20 Apr 2023,Nifty Bank,42218.50,42378.15,42108.85,42269.50
19 Apr 2023,Nifty Bank,42280.10,42339.90,42022.15,42154.00
18 Apr 2023,Nifty Bank,42406.95,42500.70,42114.35,42265.20
17 Apr 2023,Nifty Bank,42603.55,42603.55,41799.00,42262.55
13 Apr 2023,Nifty Bank,41680.10,42196.20,41502.65,42132.55
12 Apr 2023,Nifty Bank,41426.00,41610.15,41332.00,41557.95
11 Apr 2023,Nifty Bank,41232.00,41403.25,40990.20,41366.50
10 Apr 2023,Nifty Bank,41116.15,41139.85,40727.25,40834.65
06 Apr 2023,Nifty Bank,40940.70,41274.70,40820.55,41041.00
05 Apr 2023,Nifty Bank,40972.30,41071.15,40802.65,40999.15
03 Apr 2023,Nifty Bank,40695.80,40857.60,40535.90,40813.05
31 Mar 2023,Nifty Bank,40231.25,40690.40,40180.20,40608.65
29 Mar 2023,Nifty Bank,39611.55,40055.00,39609.55,39910.15
28 Mar 2023,Nifty Bank,39545.05,39645.20,39326.10,39567.90
27 Mar 2023,Nifty Bank,39484.70,39695.20,39273.75,39431.30
24 Mar 2023,Nifty Bank,39555.25,39767.90,39294.90,39395.35
23 Mar 2023,Nifty Bank,39836.15,40201.60,39552.50,39616.90
22 Mar 2023,Nifty Bank,40036.00,40085.60,39837.80,39999.05
21 Mar 2023,Nifty Bank,39599.65,39970.90,39366.30,39894.70
20 Mar 2023,Nifty Bank,39512.10,39512.10,38941.90,39361.95
17 Mar 2023,Nifty Bank,39442.40,39705.15,38926.80,39598.10
16 Mar 2023,Nifty Bank,39061.70,39381.40,38613.15,39132.60
15 Mar 2023,Nifty Bank,39777.90,39914.10,38934.65,39051.50
14 Mar 2023,Nifty Bank,39522.40,39768.50,39132.60,39411.40
13 Mar 2023,Nifty Bank,40356.10,40690.05,39454.60,39564.70
10 Mar 2023,Nifty Bank,40805.25,40839.00,40341.70,40485.45
